,adx_1,adx_5,adx_20,adx_60,adx_240
31/1/2018,0.007639664,0.016150898,0.023867252,0.022273284,0.009462868
28/2/2018,0.001653714,0.003128211,0.006296859,-0.003379384,-0.023594968
31/3/2018,-0.004505488,-0.007740667,-0.015311499,-0.016896147,-0.006644796
30/4/2018,-0.000779066,-0.005704647,-0.009090007,-0.009094821,-0.022997016
31/5/2018,0.001617585,-0.001420649,0.007148075,0.019124725,0.006113135
30/6/2018,-0.004076699,-0.006834585,-0.003774289,-0.010822222,-0.036027728
31/7/2018,0.000865723,0.004186503,0.005007908,-0.002311919,0.001432333
31/8/2018,0.002618405,0.007557031,0.023110473,0.04636414,0.142686859
30/9/2018,-0.002666006,-0.003940041,-0.001735223,0.000405489,-0.025480872
31/10/2018,-0.00037171,0.000514347,0.002888966,-0.010004975,-0.03033436
30/11/2018,-0.002619634,0.00012252,0.002757327,-0.007517934,-0.016738522
31/12/2018,-0.002711316,-0.005257385,-0.011780156,-0.041797938,-0.031743853
31/1/2019,-0.003048431,-0.008215769,-0.008056965,-0.005355426,-0.012670141
28/2/2019,0.00279745,0.00974408,0.021652585,0.032124646,0.069028477
31/3/2019,0.000937384,0.003001143,-0.005776042,-0.013029093,0.015452568
30/4/2019,-0.001954953,-0.002025188,0.001430769,0.01055597,0.01645373
31/5/2019,-0.001853205,-0.002310384,-0.007701455,-0.026160756,-0.033582074
30/6/2019,-0.003255929,-0.009341332,-0.02382073,-0.019509265,-0.043375921
31/7/2019,0.002445799,0.001142828,-0.000185696,-0.012041736,-0.017249206
31/8/2019,0.005733459,0.01676695,0.02216484,0.031159143,0.042853383
30/9/2019,-0.001093662,0.001946975,-0.002910025,-0.002344489,0.039331514
31/10/2019,-0.001329159,0.00392971,0.008233314,0.023764083,-0.004879014
30/11/2019,0.002584851,0.001025172,-0.003226943,-0.000969008,0.022232763
31/12/2019,0.000744243,0.000110547,-0.0026498,-0.008381801,-0.073098809
31/1/2020,0.003627984,0.010011164,0.014440767,0.030747911,0.058592579
29/2/2020,-0.002327387,-0.004551012,0.001000382,0.017023016,0.016863705
31/3/2020,-0.001646313,-0.000248167,0.003465118,0.013515653,0.030800821
30/4/2020,-0.001942218,-0.004856894,-0.01945213,-0.023811905,-0.036953338
31/5/2020,0.00190701,0.006772177,0.008971435,0.018261816,0.021958792
30/6/2020,0.00190701,0.006772177,0.008971435,0.018261816,0.021958792
